"RMS Level -> Normalize","KB5000_7 Any Frequency",,
Ch1,
X,Y,
Hz,dBSPL,Hz,dBSPL
1012.572375, 0.192
1019.909892, 0.207
1027.300579, 0.223
1034.744823, 0.240
1042.243010, 0.257
1049.795533, 0.275
1057.402784, 0.294
1065.065160, 0.313
1072.783062, 0.333
1080.556890, 0.354
1088.387051, 0.375
1096.273952, 0.397
1104.218005, 0.420
1112.219624, 0.444
1120.279226, 0.468
1128.397231, 0.493
1136.574062, 0.519
1144.810146, 0.546
1153.105913, 0.574
1161.461793, 0.602
1169.878224, 0.631
1178.355644, 0.661
1186.894495, 0.692
1195.495222, 0.724
1204.158273, 0.757
1212.884100, 0.790
1221.673158, 0.824
1230.525906, 0.859
1239.442803, 0.895
1248.424317, 0.932
1257.470914, 0.970
1266.583067, 1.008
1275.761250, 1.047
1285.005942, 1.087
1294.317624, 1.128
1303.696784, 1.170
1313.143908, 1.212
1322.659490, 1.256
1332.244026, 1.300
1341.898015, 1.345
1351.621961, 1.391
1361.416371, 1.437
1371.281756, 1.484
1381.218628, 1.532
1391.227508, 1.581
1401.308916, 1.630
1411.463378, 1.681
1421.691424, 1.732
1431.993586, 1.783
1442.370401, 1.835
1452.822412, 1.888
1463.350162, 1.942
1473.954201, 1.996
1484.635080, 2.051
1495.393358, 2.106
1506.229595, 2.162
1517.144355, 2.219
1528.138209, 2.276
1539.211728, 2.333
1550.365491, 2.391
1561.600078, 2.450
1572.916076, 2.509
1584.314074, 2.569
1595.794667, 2.629
1607.358453, 2.689
1619.006035, 2.750
1630.738020, 2.812
1642.555020, 2.873
1654.457651, 2.935
1666.446533, 2.998
1678.522292, 3.060
1690.685556, 3.123
1702.936961, 3.187
1715.277144, 3.251
1727.706749, 3.314
1740.226424, 3.379
1752.836822, 3.443
1765.538601, 3.508
1778.332421, 3.573
1791.218951, 3.638
1804.198862, 3.703
1817.272831, 3.769
1830.441539, 3.835
1843.705673, 3.901
1857.065924, 3.967
1870.522989, 4.033
1884.077570, 4.099
1897.730372, 4.166
1911.482109, 4.233
1925.333496, 4.300
1939.285257, 4.367
1953.338117, 4.434
1967.492810, 4.501
1981.750074, 4.569
1996.110652, 4.636
2010.575293, 4.704
2025.144750, 4.771
2039.819784, 4.839
2054.601159, 4.907
2069.489646, 4.975
2084.486021, 5.044
2099.591066, 5.112
2114.805568, 5.180
2130.130321, 5.249
2145.566123, 5.317
2161.113780, 5.386
2176.774101, 5.454
2192.547904, 5.523
2208.436010, 5.592
2224.439247, 5.661
2240.558451, 5.730
2256.794461, 5.799
2273.148124, 5.868
2289.620293, 5.937
2306.211825, 6.007
2322.923587, 6.076
2339.756448, 6.145
2356.711288, 6.215
2373.788990, 6.284
2390.990443, 6.354
2408.316546, 6.424
2425.768200, 6.493
2443.346316, 6.563
2461.051811, 6.633
2478.885607, 6.703
2496.848634, 6.773
2514.941828, 6.842
2533.166134, 6.912
2551.522500, 6.982
2570.011883, 7.052
2588.635249, 7.122
2607.393567, 7.192
2626.287816, 7.262
2645.318980, 7.332
2664.488052, 7.401
2683.796030, 7.471
2703.243923, 7.541
2722.832743, 7.610
2742.563511, 7.679
2762.437257, 7.748
2782.455016, 7.817
2802.617832, 7.886
2822.926756, 7.954
2843.382847, 8.022
2863.987171, 8.090
2884.740803, 8.157
2905.644824, 8.224
2926.700324, 8.291
2947.908401, 8.357
2969.270161, 8.422
2990.786716, 8.487
3012.459190, 8.552
3034.288711, 8.615
3056.276417, 8.678
3078.423456, 8.740
3100.730982, 8.801
3123.200157, 8.862
3145.832152, 8.921
3168.628149, 8.980
3191.589335, 9.037
3214.716907, 9.094
3238.012070, 9.149
3261.476041, 9.203
3285.110041, 9.256
3308.915302, 9.307
3332.893066, 9.357
3357.044583, 9.406
3381.371112, 9.454
3405.873921, 9.500
3430.554288, 9.544
3455.413498, 9.587
3480.452849, 9.628
3505.673645, 9.668
3531.077201, 9.706
3556.664842, 9.742
3582.437902, 9.777
3608.397724, 9.810
3634.545661, 9.841
3660.883077, 9.870
3687.411345, 9.897
3714.131848, 9.922
3741.045978, 9.946
3768.155139, 9.968
3795.460745, 9.987
3822.964218, 10.005
3850.666993, 10.021
3878.570513, 10.035
3906.676234, 10.046
3934.985620, 10.056
3963.500148, 10.064
3992.221304, 10.070
4021.150585, 10.074
4050.289500, 10.076
4079.639567, 10.076
4109.202317, 10.074
4138.979291, 10.070
4168.972041, 10.065
4199.182131, 10.057
4229.611136, 10.047
4260.260642, 10.036
4291.132247, 10.022
4322.227560, 10.007
4353.548203, 9.990
